ELMNTKEY,SHAPE_LAT,SHAPE_LNG
1001,47.6027915167318,-122.334638158583
1002,47.6028556496416,-122.334408416641
1006,47.6037337935568,-122.33517847012
1009,47.6050107229326,-122.336670238888
1010,47.605274292805,-122.336587199304
1013,47.6063792695934,-122.337961096058
1014,47.6065309885017,-122.337775765294
1017,47.6104973923731,-122.341832042526
1018,47.6107565385056,-122.341900831995
1021,47.6121448929286,-122.344611134467
1022,47.6123878828877,-122.344646445284
1025,47.6143714240799,-122.348406985083
1026,47.6145398144133,-122.348291418258
1029,47.6164981740146,-122.352010298122
1030,47.6166733251306,-122.351875478409
1034,47.617547756645,-122.353376268333
1037,47.6215033881607,-122.355530506895
1041,47.6223033078158,-122.355523915113
1045,47.6243457870253,-122.355511264914
1046,47.6236655953224,-122.355301916241
1213,47.6013507900301,-122.334301495055
1214,47.6011918640448,-122.334058848853
1217,47.6003587358789,-122.334313367553
1218,47.600582331437,-122.334048993003
1222,47.5958179498233,-122.334040471448
1229,47.6119812804072,-122.319476633108
1233,47.6146560758954,-122.319573568428
1234,47.6147098481764,-122.319331156984
1277,47.6214616776606,-122.358129594671
1278,47.6215870396405,-122.357950158417
1281,47.6253460990593,-122.358116578775
1433,47.6641065886929,-122.316442786764
1434,47.6640149550199,-122.316237020513
1577,47.6097246399101,-122.316909436688
1578,47.6098805485488,-122.316649897162
1589,47.6158321548679,-122.316980842831
1590,47.6158859757804,-122.316730310661
1601,47.6604837709179,-122.31556496036
1617,47.6753520146317,-122.315767525599
1618,47.6754369510403,-122.315548354624
1821,47.6147470972343,-122.315609106006
2054,47.6149146437628,-122.312683566064
2085,47.6589517968528,-122.312119152952
2089,47.6637230313658,-122.312053105004
2090,47.6634886726305,-122.311866021104
2781,47.6156318557205,-122.348542581158
2782,47.6157289439104,-122.348331044363
2785,47.6166923325439,-122.35034794731
2786,47.6168519925324,-122.350211457843
2789,47.6178021917963,-122.35225586112
2790,47.6180099721782,-122.352169950963
2793,47.6203115481878,-122.352955489633
2797,47.6248659046263,-122.352919492045
2798,47.6249879734386,-122.352650830282
2921,47.6004739832943,-122.331714400581
2922,47.6005723282488,-122.331422368262
2925,47.599422819093,-122.331718416574
2926,47.5994632027627,-122.331430430804
2986,47.5997313087483,-122.329994464713
3081,47.6688837616804,-122.382238684639
3082,47.6690528088099,-122.382018789393
3337,47.6671837221588,-122.384844660637
3338,47.6670465912431,-122.384642274388
3341,47.6692268350419,-122.384865233963
3342,47.6691085440795,-122.384622162058
4437,47.6162164396778,-122.347529358574
4438,47.6164002300592,-122.347458339466
4441,47.6178531492896,-122.35030436115
4442,47.6179919075935,-122.350157161399
4445,47.6252766323749,-122.351599184057
4581,47.6228300308535,-122.360726838288
4582,47.6226101823215,-122.360549962058
5802,47.5575206761119,-122.286071757913
6197,47.6175537825186,-122.347839821389
6198,47.6176477528534,-122.347567556861
6357,47.6219172266166,-122.362048053997
6358,47.6218643635761,-122.361886563272
7250,47.6062092148061,-122.331355554669
7257,47.6140370355344,-122.339876589526
7258,47.614170416549,-122.339720304751
7261,47.6148254309933,-122.341240930159
7262,47.6149639620219,-122.341056394821
7265,47.6181309809103,-122.346820295746
7273,47.6258251944651,-122.347662658938
7274,47.6259415967012,-122.347377758792
7277,47.6266236844494,-122.347663894756
7278,47.6267214903529,-122.347484642348
7397,47.5971253731168,-122.327783091236
7398,47.5968672918765,-122.327565883542
7989,47.6096135792773,-122.333196062104
7997,47.6140624196271,-122.337961494436
7998,47.6143116810521,-122.337982582025
8001,47.6146635950406,-122.338996343226
8002,47.6150819630267,-122.339260396369
8005,47.6155644863128,-122.340537862283
8013,47.6258542188501,-122.345036140234
8018,47.6267042675052,-122.344858856982
8097,47.5996467852875,-122.32646809903
8098,47.5996053659521,-122.326249394508
8101,47.5963075115004,-122.326473253826
8102,47.5962415539261,-122.326270867465
8242,47.6058820246026,-122.327969903616
8249,47.6147357543167,-122.337077909297
8301,47.5979510594259,-122.32387678783
8302,47.5979315414639,-122.32364177845
8305,47.5971712436966,-122.323875739967
8306,47.5970118179034,-122.323637275469
8369,47.6055413590558,-122.326396464644
8370,47.6054851162851,-122.326092372998
8373,47.60600690379,-122.326808146596
8374,47.6062029168737,-122.326763472209
8377,47.6068473982052,-122.327572425514
8382,47.6076591230242,-122.328104980434
8389,47.6144693381045,-122.334784452232
8393,47.6177190191213,-122.340225714958
8394,47.6175874692025,-122.339553605196
8397,47.6182232319062,-122.341010412761
8398,47.6183624849734,-122.34085171655
8401,47.6235317262863,-122.341182543733
8402,47.6237443294155,-122.340925171008
8405,47.6266998371733,-122.341161844879
8406,47.6267287080204,-122.340885803565
8541,47.597909179738,-122.322563586935
8542,47.5979334338926,-122.322336515993
8601,47.605305044572,-122.324644875434
8609,47.6064475456813,-122.325690111948
8610,47.6067192009961,-122.325686093946
8614,47.6152755762127,-122.333691383622
8617,47.616057657674,-122.335335833749
8618,47.6162167653578,-122.335296893653
8622,47.6183341216319,-122.338873308605
8626,47.6259802829033,-122.339607982302
8829,47.6041250680321,-122.33890731507
8837,47.6131795722578,-122.352110060562
8841,47.6146209655477,-122.354560874945
8870,47.601393624927,-122.335691243965
9109,47.6649126709937,-122.381596885638
9110,47.6649159735282,-122.381284567567
9114,47.6653681370651,-122.381816475443
9141,47.6681840414858,-122.379921178641
9142,47.6682282849086,-122.379682772248
9145,47.6132993196114,-122.349062428451
9146,47.6130570380548,-122.349057874657
9149,47.6165652686478,-122.344864965877
9150,47.6162964674312,-122.344846368852
9157,47.6181487804941,-122.355728061261
9158,47.6180344827741,-122.355509643817
9277,47.6131372994202,-122.346976666835
9278,47.612945695233,-122.346922818821
9349,47.6117781440717,-122.346420075905
9353,47.6129376489416,-122.344919519907
9354,47.6129922351572,-122.344563447348
9357,47.6144320120239,-122.343008245296
9358,47.6141037216524,-122.343136784923
9393,47.621442435919,-122.335949594126
9394,47.6214526603958,-122.335754869946
9421,47.6109289810617,-122.32213410754
9422,47.6111261203999,-122.322075804951
9461,47.6170726045891,-122.320945433518
9462,47.6167242085006,-122.3207046752
9465,47.6178959800954,-122.320962663325
9469,47.6196059277397,-122.320989787344
9470,47.619465445528,-122.32074021844
9473,47.6204375698513,-122.321003062439
9474,47.6206308828002,-122.320758809525
9477,47.6247871664653,-122.321080834686
9478,47.6247333946409,-122.320813963534
9509,47.6624923421602,-122.314351355487
9673,47.6149712877531,-122.351852385722
9674,47.6147209439666,-122.351853093347
9677,47.6161552835169,-122.350342064052
9678,47.6160202778429,-122.350150397447
9697,47.6069349519154,-122.323979198565
9698,47.6069502898158,-122.323603272666
9702,47.6078034880945,-122.321597370234
9721,47.6167157028551,-122.351265225629
9722,47.6166650739288,-122.350964504738
9769,47.6049600532162,-122.331083484719
9770,47.6047744395614,-122.331141878088
10054,47.6226568562066,-122.342200018504
10153,47.6214500088725,-122.329243271026
10157,47.6246542981593,-122.329315258131
10161,47.6262939231562,-122.329379593699
10165,47.6274164429793,-122.329384478289
10209,47.6122201460175,-122.348699634013
10210,47.6126671740934,-122.349110555538
10213,47.6129284376504,-122.349896934878
10214,47.6131805936012,-122.349990582484
10217,47.6140606022543,-122.35180542448
10218,47.6142607526299,-122.351799107597
10221,47.6152712448974,-122.353853492524
10222,47.6153711507714,-122.353689795056
10277,47.6504840370959,-122.351397237836
10278,47.6503547363594,-122.35119505593
10281,47.6509675715604,-122.351413793146
10282,47.6509619425828,-122.351185840027
10797,47.6220633457094,-122.333494755477
10801,47.6220493229163,-122.331121248555
10802,47.621891280296,-122.330784500072
10869,47.6221436157287,-122.341608804825
10870,47.6219746685695,-122.341910051168
10873,47.6221371512235,-122.340594454525
10874,47.6219661946593,-122.340347259231
10877,47.6123597468689,-122.321893927093
10886,47.615798684258,-122.322021589774
11018,47.6104347992446,-122.330666184324
11105,47.6021582283395,-122.33307956501
11106,47.6019603137568,-122.333136488839
11118,47.6027778931312,-122.328840199962
11126,47.6054612264043,-122.3224375547
11129,47.6198403801496,-122.353410603915
11130,47.6196791681446,-122.353555632558
11133,47.6198152688413,-122.34812888814
11134,47.6196683706683,-122.34844211803
11138,47.619624976369,-122.340471573954
11397,47.6120922845485,-122.343716989771
11398,47.6119650120001,-122.343612296049
11590,47.6081654213826,-122.327696017407
11594,47.6085703570321,-122.326743085088
11598,47.6095789320169,-122.324347129588
11665,47.6055663826975,-122.331990167831
11669,47.6080125572401,-122.326119208281
11670,47.607866838348,-122.326128559949
11673,47.6089822537097,-122.323778102984
11674,47.6088663348324,-122.323762383024
11717,47.5996092147774,-122.325171314831
11718,47.5995651042502,-122.324936379508
11766,47.6244844151328,-122.355106367506
11770,47.6244729861405,-122.353581278425
11778,47.6244565288911,-122.337695104005
11782,47.6244599363963,-122.336394973459
11785,47.6243331530385,-122.331425823497
11786,47.6242074916376,-122.33125482347
11869,47.6094343772256,-122.323806722012
11870,47.6095649433787,-122.323663935435
11873,47.6100444376464,-122.32436444684
11874,47.6103888376521,-122.324436304342
11878,47.6144765928855,-122.328190247083
11881,47.619120037784,-122.333106351908
11882,47.6190003802348,-122.332846146192
12034,47.5942087237937,-122.333104161319
12046,47.6119632037884,-122.338864982281
12237,47.6026526872973,-122.335275625178
12238,47.6025502913395,-122.335002800696
12282,47.619244471408,-122.356633486677
12285,47.6226888538598,-122.356825984421
12289,47.6250025443622,-122.356827744034
12290,47.6252236178519,-122.356582773684
12401,47.5574990434497,-122.2849887934
12402,47.5575491191976,-122.284735863431
12537,47.6233052455447,-122.341411722329
12538,47.6231425939349,-122.341911807299
12541,47.6232779574803,-122.337749244042
12542,47.6231353227884,-122.33772808235
12545,47.6232808025035,-122.335015574236
12546,47.6231176279428,-122.3353207056
12549,47.6231954453438,-122.333591530629
12550,47.6230553490888,-122.333530234966
12601,47.676819575142,-122.317478358144
12673,47.6255165199688,-122.353512404713
12682,47.6250605748847,-122.333220810072
